timestamp,event,session_id,metadata
2025-09-08T16:33:39.281918,response_complete,c2aab674-7f2d-441a-9e0a-55fa2f2762fb,"{""duration_ms"": 4651, ""chars"": 775}"
2025-09-08T16:53:13.087397,send_clicked,11af86cb-13b8-41cd-bf28-a14025a69fc8,"{""prompt_len"": 23}"
2025-09-08T16:53:15.806624,first_token,11af86cb-13b8-41cd-bf28-a14025a69fc8,"{""duration_ms"": 2723}"
2025-09-08T16:53:21.699465,response_complete,11af86cb-13b8-41cd-bf28-a14025a69fc8,"{""duration_ms"": 8617, ""chars"": 1217}"
2025-09-08T16:53:23.975347,send_clicked,11af86cb-13b8-41cd-bf28-a14025a69fc8,"{""prompt_len"": 32}"
2025-09-08T16:53:24.242192,first_token,11af86cb-13b8-41cd-bf28-a14025a69fc8,"{""duration_ms"": 269}"
2025-09-08T16:53:24.289259,shortlist_shown,11af86cb-13b8-41cd-bf28-a14025a69fc8,"{""length_chars"": 50}"
2025-09-08T16:53:25.022677,response_complete,11af86cb-13b8-41cd-bf28-a14025a69fc8,"{""duration_ms"": 1048, ""chars"": 671}"
2025-09-08T16:56:25.035861,send_clicked,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""prompt_len"": 17}"
2025-09-08T16:56:27.263898,first_token,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 2229}"
2025-09-08T16:56:29.557391,response_complete,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 4522, ""chars"": 557}"
2025-09-08T16:56:32.257183,send_clicked,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""prompt_len"": 32}"
2025-09-08T16:56:32.462572,first_token,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 206}"
2025-09-08T16:56:32.507638,shortlist_shown,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""length_chars"": 50}"
2025-09-08T16:56:33.245689,response_complete,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 988, ""chars"": 671}"
2025-09-08T16:57:09.482237,send_clicked,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""prompt_len"": 28}"
2025-09-08T16:57:11.761699,first_token,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 2280}"
2025-09-08T16:57:16.686699,response_complete,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 7204, ""chars"": 1238}"
2025-09-08T16:57:18.590815,send_clicked,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""prompt_len"": 32}"
2025-09-08T16:57:18.794656,first_token,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 205}"
